66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,385,385,385,385,385,385,385,385,385,385,385,385,385
385,385,385,333,334,335,385,385,385,385,385,385,385,385,385,385
385,385,357,358,360,360,361,385,385,385,385,385,385,385,385,385
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
